Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Soil_Type_encoded,Crop_Type_encoded,Fertilizer_encoded
26,52,38,Sandy,Maize,37,0,0,Urea,4,3,6
29,52,45,Loamy,Sugarcane,12,0,36,DAP,2,8,5
34,65,62,Black,Cotton,7,9,30,14-35-14,0,1,1
32,62,34,Red,Tobacco,22,0,20,28-28,3,9,4
28,54,46,Clayey,Paddy,35,0,0,Urea,1,6,6
26,52,35,Sandy,Barley,12,10,13,17-17-17,4,0,2
25,50,64,Red,Cotton,9,0,10,20-20,3,1,3
33,64,50,Loamy,Wheat,41,0,0,Urea,2,10,6
30,60,42,Sandy,Millets,21,0,18,28-28,4,4,4
29,58,33,Black,Oil seeds,9,7,30,14-35-14,0,5,1
27,54,28,Clayey,Pulses,13,0,40,DAP,1,7,5
31,62,48,Sandy,Maize,14,15,12,17-17-17,4,3,2
25,50,65,Loamy,Cotton,36,0,0,Urea,2,1,6
32,62,41,Clayey,Paddy,24,0,22,28-28,1,6,4
26,52,31,Red,Ground Nuts,14,0,41,DAP,3,2,5
31,62,49,Black,Sugarcane,10,13,14,17-17-17,0,8,2
33,64,34,Clayey,Pulses,38,0,0,Urea,1,7,6
25,50,39,Sandy,Barley,21,0,19,28-28,4,0,4
28,54,65,Black,Cotton,39,0,0,Urea,0,1,6
29,58,52,Loamy,Wheat,13,0,36,DAP,2,10,5
30,60,44,Sandy,Millets,10,0,9,20-20,4,4,3
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17,2,8,2
35,68,33,Red,Tobacco,11,0,37,DAP,3,9,5
28,54,37,Black,Millets,36,0,0,Urea,0,4,6
33,64,39,Clayey,Paddy,13,0,10,20-20,1,6,3
26,52,44,Sandy,Maize,23,0,20,28-28,4,3,4
30,60,63,Red,Cotton,9,9,29,14-35-14,3,1,1
32,62,30,Loamy,Sugarcane,38,0,0,Urea,2,8,6
37,70,32,Black,Oil seeds,12,0,39,DAP,0,5,5
26,52,36,Clayey,Pulses,14,0,13,20-20,1,7,3
29,58,40,Red,Ground Nuts,24,0,23,28-28,3,2,4
30,60,27,Loamy,Sugarcane,12,0,40,DAP,2,8,5
34,65,38,Clayey,Paddy,39,0,0,Urea,1,6,6
36,68,38,Sandy,Barley,7,9,30,14-35-14,4,0,1
26,52,48,Loamy,Wheat,23,0,19,28-28,2,10,4
28,54,35,Black,Millets,41,0,0,Urea,0,4,6
30,60,61,Loamy,Cotton,8,10,31,14-35-14,2,1,1
37,70,37,Clayey,Paddy,12,0,41,DAP,1,6,5
25,50,26,Red,Ground Nuts,15,14,11,17-17-17,3,2,2
29,58,34,Sandy,Millets,15,0,37,DAP,4,4,5
27,54,30,Clayey,Pulses,13,0,13,20-20,1,7,3
30,60,58,Loamy,Sugarcane,10,7,32,14-35-14,2,8,1
32,62,34,Red,Tobacco,22,0,24,28-28,3,9,4
34,65,60,Black,Sugarcane,35,0,0,Urea,0,8,6
